section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,744,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,9386,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,102,2683498,26308,125,72000,81.731758,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,228500,114250,417,228083,6.959464,,,,,,,,,,,,,,
instruction,NR15D1SET_REG_REG_REG,,642,1024,131155,128,0,34333,3.994610,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,2055,73305,35,0,1167,2.232663,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,2053,29449,14,0,250,0.896933,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,3,17209,5736,1167,14417,0.524137,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,1124,16762,14,0,2709,0.510523,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1138,15410,13,0,834,0.469345,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1126,13500,11,0,750,0.411172,,,,,,,,,,,,,,
instruction,NR15D1GET_REG_REG_REG,,641,100,9426,94,0,1833,0.287089,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,1,6667,6667,6667,6667,0.203058,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,5,5959,1191,42,5750,0.181494,,,,,,,,,,,,,,
instruction,SAY_REG,,450,4,4792,1198,1125,1250,0.145951,,,,,,,,,,,,,,
instruction,BR_ID,,36,104,4168,40,0,2583,0.126945,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,100,3335,33,0,1750,0.101575,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,102,3201,31,0,1500,0.097493,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,2,3166,1583,791,2375,0.096427,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,3,2792,930,0,2750,0.085036,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_INT,,293,3,2417,805,0,2375,0.073615,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,4,2292,573,83,2000,0.069808,,,,,,,,,,,,,,
instruction,SETATTRS_REG_INT,,217,1,2250,2250,2250,2250,0.068529,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,32,1999,62,0,583,0.060884,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,118,1919,16,0,84,0.058447,,,,,,,,,,,,,,
instruction,JUMPS_REG_BINARY,,631,1,1833,1833,1833,1833,0.055828,,,,,,,,,,,,,,
instruction,ITOF_REG,,231,1,1541,1541,1541,1541,0.046935,,,,,,,,,,,,,,
instruction,GETATTRS_REG_REG_INT,,215,3,1501,500,0,1459,0.045716,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,23,1500,65,0,750,0.045686,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,100,1417,14,0,208,0.043158,,,,,,,,,,,,,,
instruction,STOI_REG,,237,3,1375,458,83,1083,0.041879,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,2,1375,687,83,1292,0.041879,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,9,1209,134,0,917,0.036823,,,,,,,,,,,,,,
instruction,RET_REG,,49,4,1167,291,83,667,0.035544,,,,,,,,,,,,,,
