section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,741,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,161879,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,3027208,1513604,1833,3025375,49.042577,,,,,,,,,,,,,,
instruction,NR15D2GET_REG_REG_REG,,646,10000,868489,86,41,104708,14.070040,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,20198,306399,15,0,7500,4.963847,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,10128,150318,14,0,2833,2.435241,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,10000,146174,14,0,8125,2.368106,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,10000,143783,14,0,4292,2.329370,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,10070,143685,14,0,1125,2.327783,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,10000,142548,14,0,7041,2.309363,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,10014,141955,14,0,4209,2.299756,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,10131,141240,13,0,375,2.288172,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,10131,139421,13,0,1000,2.258703,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,10000,138432,13,0,625,2.242681,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,10143,138200,13,0,1084,2.238923,,,,,,,,,,,,,,
instruction,BR_ID,,36,10068,134716,13,0,3750,2.182480,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,10128,132456,13,0,2875,2.145866,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,10000,131800,13,0,333,2.135239,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,22333,11166,2083,20250,0.361808,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,5,14750,2950,0,8875,0.238959,,,,,,,,,,,,,,
instruction,NR15D2SET_REG_REG_REG,,647,64,12836,200,83,3459,0.207951,,,,,,,,,,,,,,
instruction,SAY_REG,,450,7,12085,1726,1166,3375,0.195784,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,5,9916,1983,42,9208,0.160645,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,134,8497,63,0,1750,0.137656,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,32,6083,190,41,1667,0.098548,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,2,5625,2812,2583,3042,0.091128,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,217,4541,20,0,1042,0.073567,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,5,3374,674,0,3291,0.054661,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,135,3373,24,0,584,0.054645,,,,,,,,,,,,,,
instruction,SEQ_REG_REG_STRING,,117,194,3251,16,0,459,0.052668,,,,,,,,,,,,,,
instruction,STOI_REG,,237,3,3042,1014,125,1542,0.049282,,,,,,,,,,,,,,
instruction,JUMPS_REG_BINARY,,631,2,2999,1499,666,2333,0.048586,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_INT,,293,5,2960,592,0,2834,0.047954,,,,,,,,,,,,,,
