section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,743,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,281626,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,20134,738432,36,0,1542,16.427455,,,,,,,,,,,,,,
instruction,NR15D2HGET_REG_REG_REG,,651,20000,343619,17,0,417,7.644286,,,,,,,,,,,,,,
instruction,NR15D2HRESET_REG_REG,,653,20000,309556,15,0,1291,6.886507,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,20135,276809,13,0,208,6.158004,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,20199,261185,12,0,1584,5.810426,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,20000,254578,12,0,1125,5.663444,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_INT,,26,20000,252661,12,0,1166,5.620798,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,251084,125542,584,250500,5.585715,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,20143,249547,12,0,833,5.551523,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,20131,246481,12,0,875,5.483315,,,,,,,,,,,,,,
instruction,BR_ID,,36,20068,245847,12,0,2708,5.469211,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,20070,245759,12,0,1375,5.467253,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,20128,244254,12,0,2875,5.433773,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,20000,238963,11,0,209,5.316067,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,20014,232927,11,0,333,5.181788,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,16208,8104,1208,15000,0.360570,,,,,,,,,,,,,,
instruction,NR15D2HSET_REG_REG_REG,,652,64,12870,201,0,5375,0.286311,,,,,,,,,,,,,,
instruction,SAY_REG,,450,7,9999,1428,1125,2291,0.222442,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,5,9583,1916,42,7416,0.213187,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,5,5708,1141,41,5500,0.126982,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,2,4708,2354,2250,2458,0.104736,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,128,4003,31,0,666,0.089052,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,32,3418,106,0,1583,0.076038,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,5,3165,633,0,3083,0.070410,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_INT,,293,6,2668,444,0,2459,0.059353,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,4,2499,624,83,2166,0.055594,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,89,2415,27,0,958,0.053725,,,,,,,,,,,,,,
instruction,JUMPS_REG_BINARY,,631,2,2082,1041,291,1791,0.046317,,,,,,,,,,,,,,
instruction,SWAPCALL_REG_FUNC_REG_REG_REG,,280,1,1875,1875,1875,1875,0.041712,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,3,1875,625,333,1042,0.041712,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,132,1793,13,0,333,0.039888,,,,,,,,,,,,,,
