section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,747,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,36751,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,243208,121604,375,242833,25.619018,,,,,,,,,,,,,,
instruction,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,,281,1000,101580,101,83,1458,10.700223,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,3258,47379,14,0,458,4.990804,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,2849,35664,12,0,1292,3.756771,,,,,,,,,,,,,,
instruction,RET_REG,,49,1067,35248,33,0,917,3.712950,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,2302,28007,12,0,792,2.950198,,,,,,,,,,,,,,
instruction,BR_ID,,36,2146,27204,12,0,2125,2.865612,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,2128,26709,12,0,167,2.813470,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,2210,25712,11,0,167,2.708448,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,21333,10666,1500,19833,2.247173,,,,,,,,,,,,,,
instruction,NULL_REG,,14,1065,20619,19,0,7625,2.171962,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,1523,19965,13,0,2000,2.103071,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,1133,19587,17,0,5833,2.063253,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,1259,19218,15,0,1500,2.024384,,,,,,,,,,,,,,
instruction,SETLINKATTR1_REG_REG_INT_REG,,291,1120,18872,16,0,4667,1.987937,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,1064,18037,16,0,1042,1.899980,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,66,17916,271,125,4250,1.887234,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,408,17045,41,0,1750,1.795484,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,1132,16749,14,0,2042,1.764304,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,1256,16376,13,0,292,1.725013,,,,,,,,,,,,,,
instruction,IGETUNLINK_REG_REG,,285,1202,16082,13,0,1459,1.694044,,,,,,,,,,,,,,
instruction,SEQ_REG_REG_STRING,,117,1069,15326,14,0,1875,1.614409,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,1136,14616,12,0,291,1.539619,,,,,,,,,,,,,,
instruction,RXHASH_REG_REG_REG,,513,1064,14120,13,0,458,1.487371,,,,,,,,,,,,,,
instruction,INC_REG,,28,1064,13957,13,0,208,1.470201,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1066,13915,13,0,1292,1.465777,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1078,13161,12,0,167,1.386352,,,,,,,,,,,,,,
instruction,IAND_REG_REG_INT,,169,1064,12754,11,0,167,1.343479,,,,,,,,,,,,,,
instruction,SAY_REG,,450,6,11084,1847,1500,2833,1.167565,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,133,6045,45,0,583,0.636768,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1,5917,5917,5917,5917,0.623284,,,,,,,,,,,,,,
