section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,754,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,190181,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,34297,410666,11,0,166,12.366672,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,242791,121395,1291,241500,7.311335,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,14000,216419,15,0,416,6.517176,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,1169,178666,152,83,1375,5.380294,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,10890,137373,12,0,167,4.136809,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,9636,121160,12,0,208,3.648576,,,,,,,,,,,,,,
instruction,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,,281,1000,118914,118,83,2041,3.580940,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,8552,104549,12,0,333,3.148357,,,,,,,,,,,,,,
