section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,750,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,67197,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,254750,127375,583,254167,17.108028,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,1130,181802,160,83,1834,12.209122,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,7874,94914,12,0,584,6.374058,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,2325,82957,35,0,750,5.571072,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,4880,78960,16,0,2000,5.302649,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,4682,54079,11,0,250,3.631737,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,3504,43194,12,0,1959,2.900743,,,,,,,,,,,,,,
instruction,UNLINKN_REG_REG,,283,3116,40368,12,0,1166,2.710959,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,36874,18437,1791,35083,2.476316,,,,,,,,,,,,,,
