section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,739,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,137625,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,13798,298559,21,0,22917,11.725076,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,271042,135521,542,270500,10.644422,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,20699,256577,12,0,250,10.076349,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,1026,161128,157,125,1500,6.327855,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,12138,149324,12,0,1458,5.864285,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,10508,119896,11,0,292,4.708582,,,,,,,,,,,,,,
instruction,UNLINKN_REG_REG,,283,7539,97113,12,0,917,3.813843,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,6647,84084,12,0,1000,3.302166,,,,,,,,,,,,,,
instruction,BR_ID,,36,6260,77656,12,0,833,3.049724,,,,,,,,,,,,,,
