section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,766,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,8764283,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,620161,1603140398,2585,0,9383875,68.592927,,,,,,,,,,,,,,
instruction,INSATTRS1_REG_REG_REG,,551,95560,304467244,3186,0,2873333,13.027118,,,,,,,,,,,,,,
instruction,RET_REG,,49,150170,265757790,1769,0,2986584,11.370872,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,191130,28203898,147,41,191250,1.206749,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,68262,22884555,335,0,1231417,0.979152,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,737220,12995658,17,0,18167,0.556040,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,756671,10250572,13,0,54041,0.438587,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,655341,8947532,13,0,35042,0.382834,,,,,,,,,,,,,,
