section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,752,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,85994333,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,4395900,460818940,104,41,99208,28.684118,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,11618800,173882329,14,0,114584,10.823473,,,,,,,,,,,,,,
instruction,RET_REG,,49,4112100,116310056,28,0,256334,7.239831,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,4392800,74609779,16,0,29833,4.644157,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,5803500,73930560,12,0,29000,4.601879,,,,,,,,,,,,,,
instruction,SETNUMCAS_INT,,255,4395901,56287153,12,0,16042,3.503648,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,4396303,55130589,12,0,17042,3.431656,,,,,,,,,,,,,,
instruction,SETNUMSTD_INT,,258,4395901,54673853,12,0,13209,3.403227,,,,,,,,,,,,,,
instruction,SETNUMFRM_INT,,252,4395901,54582616,12,0,16000,3.397547,,,,,,,,,,,,,,
instruction,SETNUMDGTS_INT,,246,4395901,54555901,12,0,17500,3.395884,,,,,,,,,,,,,,
instruction,SETNUMFUZ_INT,,249,4395901,54078535,12,0,106208,3.366170,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,4248602,53083743,12,0,13625,3.304249,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,4281901,52208512,12,0,135750,3.249769,,,,,,,,,,,,,,
instruction,REFVALID_REG_REG,,198,3965200,51800248,13,0,15083,3.224356,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,3847101,48994293,12,0,16125,3.049697,,,,,,,,,,,,,,
instruction,LINKREF_REG_REG,,196,3827800,48633841,12,0,18292,3.027260,,,,,,,,,,,,,,
instruction,NULL_REG,,14,2254700,28754719,12,0,11291,1.789865,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,1878600,23766444,12,0,15333,1.479365,,,,,,,,,,,,,,
instruction,BTOI_REG,,225,1876200,23214267,12,0,11750,1.444994,,,,,,,,,,,,,,
instruction,BR_ID,,36,1805001,22396654,12,0,13375,1.394101,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,567901,8698760,15,0,8792,0.541463,,,,,,,,,,,,,,
instruction,RET_INT,,50,281001,8526842,30,0,8916,0.530761,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,421402,5476034,12,0,8917,0.340861,,,,,,,,,,,,,,
instruction,MKREF_REG_REG,,194,3400,1054839,310,0,1958,0.065659,,,,,,,,,,,,,,
instruction,MINATTRS_REG_REG_INT,,223,6200,298508,48,0,16333,0.018581,,,,,,,,,,,,,,
instruction,SETATTRS_REG_INT,,217,3300,253611,76,0,1084,0.015786,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_REG,,202,6200,92433,14,0,5291,0.005754,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,6301,86652,13,0,1125,0.005394,,,,,,,,,,,,,,
instruction,RET,,48,2800,64090,22,0,583,0.003989,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,4000,56332,14,0,1167,0.003506,,,,,,,,,,,,,,
instruction,SETOBJTYPE_REG_STRING,,56,3300,52009,15,0,667,0.003237,,,,,,,,,,,,,,
