section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,740,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,19800295,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,DCALL_REG_REG_REG,,47,1200001,119609070,99,0,221708,25.112664,,,,,,,,,,,,,,
instruction,SRCFPROCSEL_REG_STRING_REG,,58,100001,46912767,469,375,40084,9.849626,,,,,,,,,,,,,,
instruction,RET_INT,,50,1100001,41109288,37,0,5990000,8.631149,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,2200004,36300802,16,0,59417,7.621578,,,,,,,,,,,,,,
instruction,SRCMETHODSEL_REG_REG_STRING,,57,1100000,24565261,22,0,194000,5.157629,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,1100000,21474696,19,0,55125,4.508745,,,,,,,,,,,,,,
instruction,SETNUMCAS_INT,,255,1200006,17696897,14,0,212042,3.715573,,,,,,,,,,,,,,
instruction,SETNUMFUZ_INT,,249,1200006,16939201,14,0,528083,3.556490,,,,,,,,,,,,,,
