section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,901,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,100000006,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,20000000,1494777369,74,0,132209,51.253990,,,,,,,,,,,,,,
instruction,RET_REG,,49,20000000,691335207,34,0,95500,23.704993,,,,,,,,,,,,,,
instruction,DEC_REG,,29,20000000,247767607,12,0,144292,8.495632,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,20000001,244135911,12,0,2574375,8.371106,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,20000000,238256248,11,0,433417,8.169500,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,3,120124,40041,83,119625,0.004119,,,,,,,,,,,,,,
instruction,INE_REG_REG_INT,,103,1,9792,9792,9792,9792,0.000336,,,,,,,,,,,,,,
instruction,RET_INT,,50,1,9458,9458,9458,9458,0.000324,,,,,,,,,,,,,,
transition,sequential_same_frame,,0,40000006,401964351,10,0,105917,40.891322,,,,,,,,,,,,,,
transition,branch_same_frame,,1,19999999,199486882,9,0,48166,20.293547,,,,,,,,,,,,,,
transition,call_enter_frame,,2,20000000,190262237,9,0,34459,19.355135,,,,,,,,,,,,,,
transition,return_leave_frame,,3,20000000,191065105,9,0,33208,19.436810,,,,,,,,,,,,,,
transition,external_entry,,6,1,227917,227917,227917,227917,0.023186,,,,,,,,,,,,,,
transition,terminal,,7,1,0,0,0,0,0.000000,,,,,,,,,,,,,,
interrupt,scan_all,,,0,0,0,0,0,0,,,,,,,,,,,,,,
interrupt,scan_without_selection,,,0,0,0,0,0,0,,,,,,,,,,,,,,
interrupt,mechanics_all,,,0,0,0,0,0,0,,,,,,,,,,,,,,
procedure,"expanded.rxas::main","elapsed",,1,3899418208,3899418208,3899418208,3899418208,0,,,,,"performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/settpcall-review/expanded.rxas",procedure,1,0,"","",,,,
procedure,"expanded.rxas::main","inclusive_body",,1,3899180833,3899180833,3899180833,3899180833,0,,,,,"performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/settpcall-review/expanded.rxas",procedure,1,0,"","",,,,
procedure,"expanded.rxas::main","self",,1,1331740915,1331740915,1331740915,1331740915,0,,,,,"performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/settpcall-review/expanded.rxas",procedure,1,0,"","",,,,
procedure,"expanded.rxas::main","native_child",,1,0,0,0,0,0,,,,,"performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/settpcall-review/expanded.rxas",procedure,1,0,"","",,,,
procedure,"expanded.rxas::main","entry_overhead",,1,227917,227917,227917,227917,0,,,,,"performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/settpcall-review/expanded.rxas",procedure,1,0,"","",,,,
procedure,"expanded.rxas::main","exit_overhead",,1,9458,9458,9458,9458,0,,,,,"performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/settpcall-review/expanded.rxas",procedure,1,0,"","",,,,
procedure,"expanded.rxas::return_arg","elapsed",,20000000,2567439918,128,41,247625,0,,,,,"performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/settpcall-review/expanded.rxas",procedure,20000000,0,"","",,,,
