section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,756,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,119785021,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,29115002,364598920,12,0,199916,21.226359,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,20485000,267333833,13,0,34542,15.563743,,,,,,,,,,,,,,
instruction,SWAPCALL_REG_FUNC_REG_REG_REG,,280,740000,130820727,176,83,52708,7.616171,,,,,,,,,,,,,,
instruction,BGETU8_REG_REG_REG,,585,9020000,115094335,12,0,35417,6.700606,,,,,,,,,,,,,,
instruction,ILT_REG_REG_REG,,110,8335000,104014752,12,0,48833,6.055571,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,3610001,85258283,23,0,47333,4.963599,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,6205000,78694665,12,0,29208,4.581476,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,5355001,66995768,12,0,26417,3.900385,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,5255000,65555133,12,0,15833,3.816514,,,,,,,,,,,,,,
instruction,BR_ID,,36,4575001,54643804,11,0,34041,3.181274,,,,,,,,,,,,,,
instruction,BRTF_ID_ID_REG,,39,4265000,51525205,12,0,32459,2.999714,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,3705001,46233865,12,0,27583,2.691661,,,,,,,,,,,,,,
instruction,SWAPN_REG_REG_REG_REG_REG_REG_REG_REG,,266,2860000,44878069,15,0,21916,2.612729,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,2950003,35805327,12,0,18959,2.084528,,,,,,,,,,,,,,
instruction,SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG,,273,1390000,20247853,14,0,15666,1.178797,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,1435000,20022719,13,0,22583,1.165690,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_REG,,107,1390000,18762919,13,0,15583,1.092347,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_REG,,100,1295000,17628442,13,0,21041,1.026299,,,,,,,,,,,,,,
instruction,RET_INT,,50,510001,15034940,29,0,26958,0.875310,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,745001,13363227,17,0,14958,0.777985,,,,,,,,,,,,,,
instruction,SWAPN_REG_REG_REG_REG_REG_REG,,265,785000,11282576,14,0,10292,0.656853,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,790001,10787872,13,0,31333,0.628052,,,,,,,,,,,,,,
instruction,LOADSETTPSWAP_REG_INT_REG_INT_REG,,269,740000,10041336,13,0,13042,0.584590,,,,,,,,,,,,,,
instruction,RET_REG,,49,235000,9809426,41,0,16542,0.571089,,,,,,,,,,,,,,
instruction,INE_REG_REG_INT,,103,705000,9665623,13,0,15459,0.562717,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,615000,7902454,12,0,38208,0.460068,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,265000,3649967,13,0,64416,0.212495,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,220000,3537133,16,0,12750,0.205926,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,110000,3290173,29,0,792,0.191549,,,,,,,,,,,,,,
