section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,763,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,68292922,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SETSTRPOS_REG_REG,,154,685000,181560352,265,0,45375,13.466860,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,1368000,168273566,123,41,51541,12.481340,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,8900006,110616965,12,0,34583,8.204782,,,,,,,,,,,,,,
instruction,RET_REG,,49,2054006,78542829,38,0,33375,5.825750,,,,,,,,,,,,,,
instruction,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,,281,685005,74895844,109,41,36250,5.555243,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,4105006,50868518,12,0,32334,3.773066,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,3430520,42520313,12,0,41208,3.153855,,,,,,,,,,,,,,
instruction,BR_ID,,36,3421030,40486192,11,0,12417,3.002979,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,2054008,34801622,16,0,17417,2.581338,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,2736524,33944200,12,0,35041,2.517740,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,2052002,32149696,15,0,12334,2.384637,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,2053001,27235053,13,0,12166,2.020103,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,1369000,24151273,17,0,18916,1.791370,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,1881500,23525874,12,0,12000,1.744983,,,,,,,,,,,,,,
instruction,LOADSETTPSWAP_REG_INT_REG_INT_REG,,269,1709001,23266558,13,0,12167,1.725748,,,,,,,,,,,,,,
instruction,RNE_REG_REG_STRING,,567,684000,20667629,30,0,12333,1.532978,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_REG,,17,1541500,19226208,12,0,12167,1.426064,,,,,,,,,,,,,,
instruction,SEQ_REG_REG_STRING,,117,1366000,17912384,13,0,11000,1.328614,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,1369001,17781457,12,0,14916,1.318902,,,,,,,,,,,,,,
instruction,LOAD_REG_STRING,,3,1371001,17657253,12,0,12041,1.309690,,,,,,,,,,,,,,
instruction,SWAPN_REG_REG_REG_REG,,264,1196501,17407042,14,0,21583,1.291131,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,1370502,17232801,12,0,13083,1.278207,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,1368501,16966602,12,0,21667,1.258462,,,,,,,,,,,,,,
instruction,BGE_ID_REG_INT,,355,1368000,16930483,12,0,31916,1.255783,,,,,,,,,,,,,,
instruction,BGETU8_REG_REG_REG,,585,1196024,14887560,12,0,11417,1.104254,,,,,,,,,,,,,,
instruction,BSETU8_REG_REG_REG,,592,1197024,14857469,12,0,8083,1.102022,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,858506,12790462,14,0,6709,0.948706,,,,,,,,,,,,,,
instruction,STRPOS_REG_REG_REG,,164,683000,11878068,17,0,12208,0.881031,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_INT,,26,855024,10782988,12,0,6458,0.799806,,,,,,,,,,,,,,
