section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,742,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,68452,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,193791,96895,541,193250,13.400792,,,,,,,,,,,,,,
instruction,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,,281,1000,139167,139,125,1792,9.623502,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,8455,107876,12,0,125,7.459706,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,5675,105827,18,0,3000,7.318016,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,5114,66249,12,0,1375,4.581168,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,4176,54395,13,0,167,3.761455,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,258,42831,166,125,958,2.961796,,,,,,,,,,,,,,
instruction,UNLINKN_REG_REG,,283,3087,41920,13,0,833,2.898799,,,,,,,,,,,,,,
