section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,708,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,61797890,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SETSTRPOS_REG_REG,,154,685000,211520953,308,0,1838250,17.494248,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,11642014,181351881,15,0,106542,14.999057,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,6676007,115016829,17,0,3138334,9.512689,,,,,,,,,,,,,,
instruction,NULL_REG,,14,5479002,81862894,14,0,16584,6.770628,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,3078503,56191486,18,0,29334,4.647425,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,3428015,51368072,14,0,46500,4.248495,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,2736524,43130567,15,0,13750,3.567197,,,,,,,,,,,,,,
instruction,BR_ID,,36,2734005,40080008,14,0,22417,3.314894,,,,,,,,,,,,,,
