section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,745,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,36703,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,438709,219354,1042,437667,34.288177,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,2749,89934,32,0,7666,7.028971,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,258,59009,228,125,5458,4.611966,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,3539,57534,16,0,4458,4.496685,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,3479,50159,14,0,3417,3.920277,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,3126,43801,14,0,958,3.423355,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,39208,19604,1333,37875,3.064379,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,517,28675,55,0,4000,2.241152,,,,,,,,,,,,,,
instruction,BR_ID,,36,1651,25416,15,0,3416,1.986438,,,,,,,,,,,,,,
instruction,STEMGET_REG_REG_REG,,641,1000,21004,21,0,791,1.641610,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,1529,20670,13,0,458,1.615505,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,1512,20338,13,0,209,1.589557,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,1198,19538,16,0,2250,1.527031,,,,,,,,,,,,,,
instruction,IGETUNLINK_REG_REG,,285,845,17288,20,0,2334,1.351178,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,1256,17161,13,0,1084,1.341252,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1270,16469,12,0,250,1.287168,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1258,16038,12,0,667,1.253482,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,32,15959,498,0,12834,1.247307,,,,,,,,,,,,,,
instruction,UNLINKN_REG_REG,,283,1099,15000,13,0,792,1.172355,,,,,,,,,,,,,,
instruction,SETLINKATTR1_REG_REG_INT_REG,,291,449,14132,31,0,7375,1.104515,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,1000,13845,13,0,834,1.082084,,,,,,,,,,,,,,
instruction,NULLN_REG_REG,,274,1,13500,13500,13500,13500,1.055119,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,1000,13252,13,0,459,1.035737,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,1000,13251,13,0,333,1.035658,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,1000,12245,12,0,625,0.957032,,,,,,,,,,,,,,
instruction,RET,,48,256,11832,46,0,1583,0.924754,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1,10708,10708,10708,10708,0.836905,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,517,10666,20,0,4000,0.833623,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,518,10126,19,0,500,0.791418,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,256,9705,37,0,5875,0.758514,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,587,9165,15,0,250,0.716309,,,,,,,,,,,,,,
