section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,815,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,145210032,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,19150000,459208039,23,0,223083,18.209649,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,29110002,411568723,14,0,457833,16.320537,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,20480000,307091190,14,0,1079375,12.177537,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,745000,161381579,216,83,278916,6.399500,,,,,,,,,,,,,,
instruction,BGETU8_REG_REG_REG,,585,9020000,136046064,15,0,58209,5.394834,,,,,,,,,,,,,,
instruction,ILT_REG_REG_REG,,110,8335000,120272425,14,0,19041,4.769339,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,3610001,99926198,27,0,49250,3.962520,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,6115001,89284626,14,0,28917,3.540534,,,,,,,,,,,,,,
