section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,740,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,1969915,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SRCFPROCSEL_REG_STRING_REG,,58,7,111727959,15961137,15586792,16708875,74.656791,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,10936,4459994,407,0,14583,2.980175,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,296049,3969705,13,0,2458,2.652563,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,11878,2736841,230,41,13292,1.828761,,,,,,,,,,,,,,
instruction,NULL_REG,,14,135298,1854542,13,0,4166,1.239208,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,128902,1765239,13,0,4208,1.179535,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,112479,1542200,13,0,4666,1.030500,,,,,,,,,,,,,,
instruction,ASSERTTYPE_REG_STRING,,61,287,1499218,5223,4750,6000,1.001780,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,90933,1278030,14,0,4958,0.853982,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,79911,1148099,14,0,1583,0.767161,,,,,,,,,,,,,,
instruction,BR_ID,,36,79759,1008195,12,0,1834,0.673677,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,74290,999661,13,0,12292,0.667975,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,71157,965418,13,0,1542,0.645094,,,,,,,,,,,,,,
instruction,STRCHAR_REG_REG_REG,,150,57523,909537,15,0,458,0.607754,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,57612,792166,13,0,959,0.529327,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,51244,722569,14,0,4583,0.482822,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,50211,658732,13,0,3333,0.440166,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,17722,475227,26,0,4458,0.317547,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,33070,464034,14,0,4042,0.310068,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,33528,453716,13,0,3458,0.303174,,,,,,,,,,,,,,
instruction,RET_REG,,49,8061,435805,54,0,3375,0.291206,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,30798,430244,13,0,2750,0.287490,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,30934,428217,13,0,333,0.286135,,,,,,,,,,,,,,
instruction,LOAD_REG_STRING,,3,28455,420649,14,0,958,0.281078,,,,,,,,,,,,,,
instruction,ILT_REG_REG_REG,,110,26932,379108,14,0,375,0.253321,,,,,,,,,,,,,,
instruction,IMULT_REG_REG_INT,,21,27220,362761,13,0,167,0.242397,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,24937,353337,14,0,458,0.236100,,,,,,,,,,,,,,
instruction,MINATTRS_REG_REG_INT,,223,19685,341094,17,0,1583,0.227920,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,23969,334729,13,0,1666,0.223666,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,6,322210,53701,334,317500,0.215301,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_REG,,100,23556,320079,13,0,917,0.213877,,,,,,,,,,,,,,
