section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,750,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,67738,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,565,1729082,3060,375,13750,57.351565,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,170750,85375,1000,169750,5.663572,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,566,115781,204,125,3417,3.840316,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,6636,81797,12,0,1125,2.713108,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,4433,60128,13,0,1167,1.994373,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,4818,59477,12,0,1583,1.972780,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,4445,55304,12,0,208,1.834367,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,3803,47127,12,0,125,1.563146,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,3803,46568,12,0,83,1.544604,,,,,,,,,,,,,,
instruction,STRCHAR_REG_REG_REG,,150,3303,42865,12,0,125,1.421780,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,3303,40412,12,0,83,1.340417,,,,,,,,,,,,,,
instruction,IMULT_REG_REG_INT,,21,3303,40247,12,0,84,1.334944,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,3303,39689,12,0,667,1.316436,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,2384,39637,16,0,1708,1.314711,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,2258,34689,15,0,250,1.150592,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,633,29329,46,0,334,0.972808,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,2274,27324,12,0,125,0.906304,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,1789,23607,13,0,625,0.783016,,,,,,,,,,,,,,
instruction,UNLINKN_REG_REG,,283,1756,23286,13,0,125,0.772369,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,1259,22539,17,0,1083,0.747591,,,,,,,,,,,,,,
instruction,RET,,48,564,20045,35,0,417,0.664868,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,19167,9583,1625,17542,0.635746,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,1192,16460,13,0,84,0.545958,,,,,,,,,,,,,,
instruction,IGETUNLINK_REG_REG,,285,1194,16415,13,0,1084,0.544466,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,1128,14461,12,0,83,0.479654,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,1064,13967,13,0,83,0.463269,,,,,,,,,,,,,,
instruction,SETLINKATTR1_REG_REG_INT_REG,,291,628,13587,21,0,4709,0.450664,,,,,,,,,,,,,,
instruction,SETOBJTYPE_REG_STRING,,56,1,12917,12917,12917,12917,0.428441,,,,,,,,,,,,,,
instruction,SAY_REG,,450,6,12376,2062,1625,2625,0.410497,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,569,12373,21,0,4875,0.410397,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,632,11602,18,0,1333,0.384824,,,,,,,,,,,,,,
