section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,752,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,396250,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,565,1798678,3183,291,14125,25.438439,,,,,,,,,,,,,,
instruction,STRCHAR_REG_REG_REG,,150,36579,488334,13,0,208,6.906436,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,39966,485585,12,0,209,6.867557,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,37709,474048,12,0,208,6.704391,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,37146,457883,12,0,625,6.475772,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,38621,455883,11,0,1125,6.447486,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,37143,447675,12,0,750,6.331402,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,37079,445953,12,0,625,6.307048,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,37721,444844,11,0,167,6.291363,,,,,,,,,,,,,,
