section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,747,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,33225,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,67,187165,2793,291,14167,17.651680,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,178417,89208,500,177917,16.826649,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,1066,139536,130,83,1334,13.159751,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,1133,41273,36,0,416,3.892489,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,3219,39105,12,0,84,3.688024,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,2898,35565,12,0,1125,3.354163,,,,,,,,,,,,,,
instruction,RET,,48,1064,33034,31,0,250,3.115463,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,2000,23818,11,0,125,2.246295,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,1065,19398,18,0,1250,1.829441,,,,,,,,,,,,,,
