section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,748,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,28849,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,167,650871,3897,41,30125,46.589556,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,207667,103833,584,207083,14.864871,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,3787,47785,12,0,1083,3.420466,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,912,42244,46,0,2958,3.023839,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,166,38211,230,125,3041,2.735156,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,2725,33351,12,0,1625,2.387275,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1897,25341,13,0,1208,1.813917,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1909,22137,11,0,125,1.584574,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,1674,21847,13,0,833,1.563815,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,1731,21666,12,0,834,1.550859,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,1567,20290,12,0,125,1.452365,,,,,,,,,,,,,,
instruction,STRCHAR_REG_REG_REG,,150,1567,19318,12,0,125,1.382789,,,,,,,,,,,,,,
instruction,IMULT_REG_REG_INT,,21,1567,19115,12,0,84,1.368258,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,1567,18752,11,0,167,1.342274,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,17500,8750,1500,16000,1.252656,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,333,13796,41,0,292,0.987522,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,687,12080,17,0,1292,0.864690,,,,,,,,,,,,,,
instruction,CONCAT_REG_REG_REG,,134,100,12080,120,0,10292,0.864690,,,,,,,,,,,,,,
instruction,SAY_REG,,450,6,11460,1910,1458,2709,0.820310,,,,,,,,,,,,,,
instruction,SETLINKATTR1_REG_REG_INT_REG,,291,286,11326,39,0,7708,0.810719,,,,,,,,,,,,,,
instruction,UNLINKN_REG_REG,,283,699,8619,12,0,83,0.616951,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,668,8591,12,0,584,0.614947,,,,,,,,,,,,,,
instruction,IGETUNLINK_REG_REG,,285,537,8250,15,0,1125,0.590538,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,169,7165,42,0,4375,0.512873,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,509,6708,13,0,84,0.480161,,,,,,,,,,,,,,
instruction,NULL_REG,,14,1,6584,6584,6584,6584,0.471285,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,334,5578,16,0,167,0.399275,,,,,,,,,,,,,,
instruction,RET,,48,164,5498,33,0,167,0.393549,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,328,4831,14,0,125,0.345805,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,371,4749,12,0,83,0.339935,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,164,4501,27,0,666,0.322183,,,,,,,,,,,,,,
