section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,755,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,37569,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,183042,91521,500,182542,16.756871,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,66,177165,2684,291,13833,16.218851,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,1067,133673,125,83,2667,12.237307,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,1133,41040,36,0,291,3.757072,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,3193,38379,12,0,42,3.513467,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,3219,37886,11,0,1125,3.468334,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,2898,36045,12,0,1625,3.299797,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,2262,35998,15,0,166,3.295494,,,,,,,,,,,,,,
instruction,RET,,48,1064,31288,29,0,167,2.864310,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1511,19536,12,0,1167,1.788454,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,1066,18669,17,0,1042,1.709083,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1523,18414,12,0,83,1.685739,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,1070,18374,17,0,4791,1.682077,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,1261,17955,14,0,1209,1.643719,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,1135,17378,15,0,1292,1.590897,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,17124,8562,1458,15666,1.567644,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,1294,15707,12,0,584,1.437922,,,,,,,,,,,,,,
instruction,BR_ID,,36,1067,15503,14,0,1667,1.419247,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,386,15331,39,0,1459,1.403501,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,1134,14829,13,0,83,1.357544,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,1129,14589,12,0,83,1.335573,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,1280,14082,11,0,167,1.289159,,,,,,,,,,,,,,
instruction,ISETATTR1_REG_INT_REG,,406,1067,13583,12,0,84,1.243477,,,,,,,,,,,,,,
instruction,GETANDTP_REG_REG_INT,,522,1064,13581,12,0,792,1.243294,,,,,,,,,,,,,,
instruction,INC_REG,,28,1064,13250,12,0,167,1.212992,,,,,,,,,,,,,,
instruction,NOT_REG_REG,,182,1064,13079,12,0,125,1.197338,,,,,,,,,,,,,,
instruction,LOAD_REG_STRING,,3,1007,12959,12,0,84,1.186352,,,,,,,,,,,,,,
instruction,SAY_REG,,450,6,11166,1861,1458,2875,1.022209,,,,,,,,,,,,,,
instruction,SETLINKATTR1_REG_REG_INT_REG,,291,129,6626,51,0,4625,0.606588,,,,,,,,,,,,,,
instruction,NULL_REG,,14,1,6458,6458,6458,6458,0.591208,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,380,5166,13,0,584,0.472930,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,380,5086,13,0,166,0.465606,,,,,,,,,,,,,,
