section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,755,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,91232,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,565,1763798,3121,459,16833,51.710664,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,267750,133875,792,266958,7.849839,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,9456,116773,12,0,1208,3.423527,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,8138,98580,12,0,1833,2.890148,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,7265,93512,12,0,125,2.741565,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,7253,89416,12,0,1208,2.621480,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,6623,85142,12,0,291,2.496175,,,,,,,,,,,,,,
instruction,STRCHAR_REG_REG_REG,,150,6123,83709,13,0,208,2.454163,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,6687,82704,12,0,667,2.424699,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,6623,82290,12,0,167,2.412561,,,,,,,,,,,,,,
instruction,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,,281,500,80998,161,125,1792,2.374683,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,6687,80361,12,0,708,2.356007,,,,,,,,,,,,,,
instruction,IMULT_REG_REG_INT,,21,6123,76940,12,0,167,2.255711,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,2384,44708,18,0,1833,1.310740,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,30958,15479,1583,29375,0.907620,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,1846,24452,13,0,791,0.716879,,,,,,,,,,,,,,
instruction,RET_REG,,49,503,22079,43,0,459,0.647308,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,1709,20994,12,0,459,0.615498,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,66,18453,279,125,2667,0.541001,,,,,,,,,,,,,,
instruction,UNLINKN_REG_REG,,283,1256,17821,14,0,209,0.522472,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,887,16589,18,0,1291,0.486353,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,1128,14338,12,0,167,0.420359,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,1064,14270,13,0,250,0.418365,,,,,,,,,,,,,,
instruction,SETLINKATTR1_REG_REG_INT_REG,,291,628,13548,21,0,6375,0.397197,,,,,,,,,,,,,,
instruction,SAY_REG,,450,6,13167,2194,1834,3458,0.386027,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,1064,13038,12,0,125,0.382245,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,564,12063,21,0,1042,0.353661,,,,,,,,,,,,,,
instruction,IGETUNLINK_REG_REG,,285,694,11428,16,0,1333,0.335044,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,568,9749,17,0,1542,0.285819,,,,,,,,,,,,,,
instruction,BR_ID,,36,565,9505,16,0,2250,0.278666,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,628,9205,14,0,166,0.269870,,,,,,,,,,,,,,
