section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,767,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,24453735,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,435552,215125380,493,0,13444292,28.739519,,,,,,,,,,,,,,
instruction,SRCFPROCSEL_REG_STRING_REG,,58,7,77198334,11028333,10629709,11258875,10.313255,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,245847,55935047,227,83,22792,7.472602,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,1930383,25143094,13,0,23459,3.358973,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,1293357,17003166,13,0,12834,2.271526,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1179058,14956834,12,0,47917,1.998147,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,1185899,14728421,12,0,12375,1.967633,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC,,45,113206,14580810,128,41,26750,1.947913,,,,,,,,,,,,,,
instruction,RET_REG,,49,317365,14547790,45,0,22042,1.943501,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1017370,14273267,14,0,14000,1.906827,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,1089031,13709358,12,0,9417,1.831492,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,78004,13446791,172,41,22917,1.796414,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,781009,11493647,14,0,13542,1.535485,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,857131,10513638,12,0,15709,1.404562,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,830413,10366912,12,0,13208,1.384960,,,,,,,,,,,,,,
instruction,STRCHAR_REG_REG_REG,,150,724856,9745282,13,0,8416,1.301914,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,166009,9391670,56,0,13542,1.254673,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,521298,9233896,17,0,19125,1.233596,,,,,,,,,,,,,,
instruction,REQ_REG_REG_REG,,563,273721,9081169,33,0,11708,1.213192,,,,,,,,,,,,,,
instruction,LOAD_REG_STRING,,3,649300,8741194,13,0,13916,1.167773,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,647000,8452243,13,0,18167,1.129171,,,,,,,,,,,,,,
instruction,IMULT_REG_REG_INT,,21,647000,8178092,12,0,86208,1.092546,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,647008,8072527,12,0,22959,1.078443,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,563667,7774605,13,0,7792,1.038643,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,582283,7631116,13,0,7791,1.019473,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,358659,7477012,20,0,13292,0.998886,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,528165,7473718,14,0,33208,0.998446,,,,,,,,,,,,,,
instruction,CALL1_REG_FUNC_REG,,401,49606,7023000,141,0,13625,0.938233,,,,,,,,,,,,,,
instruction,NULL_REG,,14,497682,6382455,12,0,14500,0.852659,,,,,,,,,,,,,,
instruction,BR_ID,,36,501463,6333866,12,0,6792,0.846168,,,,,,,,,,,,,,
