section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,746,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,297032,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,2068,3467070,1676,333,36583,43.671479,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,34281,410156,11,0,5500,5.166356,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,21263,257824,12,0,167,3.247571,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,16053,208193,12,0,7542,2.622415,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,1169,194134,166,83,1375,2.445327,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,14000,175030,12,0,375,2.204691,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,13722,173572,12,0,1708,2.186326,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,169459,84729,792,168667,2.134519,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,13931,168346,12,0,1125,2.120499,,,,,,,,,,,,,,
